title,description,duration_seconds,release_date,guest,comedian,comedian_sub,comic,comic_sub,phd,phd_sub,actor,actor_sub,writer,writer_sub,author,author_sub,ufc,ufc_sub,musician,musician_sub,artist,artist_sub,founder,founder_sub,youtuber,youtuber_sub,podcast,podcast_sub,ceo,ceo_sub,philanthropist,philanthropist_sub,singer/songwriter,singer/songwriter_sub,screenwriter,screenwriter_sub,scientist,scientist_sub,co-host,co-host_sub,journalist,journalist_sub,entrepreneur,entrepreneur_sub,astrophysicist,astrophysicist_sub,politician,politician_sub,pilot,pilot_sub
#1959 - David Buss,"David Buss, PhD, is a founding figure in the field of evolutionary psychology, and a professor at the University of Texas at Austin. His primary research focuses are on human mating strategies, conflict between the sexes, and the psychology of prestige, status, and reputation. He is the author of several books, among them ""The Evolution of Desire: Strategies of Human Mating"", and ""When Men Behave Badly: The Hidden Roots of Sexual Deception, Harassment, and Assault"". www.davidbuss.com",153.48,2023-03-23,David Buss,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JRE MMA Show #137 with Jorge Masvidal,"Joe sits down with Jorge Masvidal, a mixed martial artist currently competing in the welterweight division for the Ultimate Fighting Championship. www.ufc.com/athlete/jorge-masvidal",173.45,2023-03-22,Jorge Masvidal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1958 - Andrew Huberman,"Andrew Huberman, PhD, is a neuroscientist and tenured professor at Stanford University’s School of Medicine. Andrew is also the host of the Huberman Lab podcast, which aims to help viewers and listeners improve their health with science and science-based tools. New episodes air every Monday on YouTube and all podcast platforms. www.hubermanlab.com",166.94,2023-03-21,Andrew Huberman,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
#1957 - Shane Gillis,"Shane Gillis is the co-host of ""Matt and Shane's Secret Podcast"" with Matt McCusker. His special, ""Shane Gillis: Live in Austin,"" is available via YouTube, and season two of ""Gilly and Keeves,"" his sketch comedy series with John McKeever, is available now at www.gillyandkeeves.tv. www.shanemgillis.com",176.77,2023-03-17,Shane Gillis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
#1956 - Luke Combs,"Luke Combs is a singer/songwriter and the 2022 Country Music Association Awards Entertainer of the Year. His new album, ""Gettin' Old,"" is available everywhere music on March 24.  www.lukecombs.com",182.93,2023-03-16,Luke Combs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1955 - Cliff Gray,"Cliff Gray is a former financial trader turned wilderness outfitter, hunting guide and YouTuber. https://pursuitwithcliff.com/",158.78,2023-03-15,Cliff Gray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1954 - Bert Kreischer,"Bert Kreischer is a comedian, podcaster, and actor. He's the host of ""The Bertcast"" podcast and YouTube cooking program ""Something's Burning."" He's also the co-host of the ""2 Bears, 1 Cave"" podcast with fellow comedian Tom Segura. Look for Bert's new Netflix comedy special, ""Bert Kreischer: Razzle Dazzle"", on March 14, and his movie, ""The Machine"", in wide release on May 25. www.bertbertbert.com",202.97,2023-03-14,Bert Kreischer,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
#1953 - Duncan Trussell,"Duncan Trussell is a stand-up comic, writer, actor, host of the ""Duncan Trussell Family Hour"" podcast, and creator of ""The Midnight Gospel"" on Netflix. www.duncantrussell.com",197.84,2023-03-10,Duncan Trussell,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1952 - Michael Malice,"Michael Malice is a cultural commentator, host of the PodcastOne podcast ""YOUR WELCOME,"" and author of several books, including ""Dear Reader: The Unauthorized Autobiography of Kim Jong Il,"" and ""The Anarchist Handbook."" His newest, ""The White Pill: A Tale of Good & Evil,"" is available now. www.whitepillbook.com",208.42,2023-03-08,Michael Malice,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1951 - Coffeezilla,"Stephen Findeisen, also known as Coffeezilla, is a YouTuber whose channel focuses on exposing scammers, fraudsters, fake gurus, and their deceptive financial schemes. www.youtube.com/@Coffeezilla",184.28,2023-03-07,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
